index,RangeMinXZ_Lv1,RangeMaxXZ_Lv1,RangeMinY_Lv1,RangeMaxY_Lv1,EnableMinXZ_Lv1,EnableMaxXZ_Lv1,RangeMinXZ_Lv2,RangeMaxXZ_Lv2,RangeMinY_Lv2,RangeMaxY_Lv2,EnableMinXZ_Lv2,EnableMaxXZ_Lv2,RangeMinXZ_LvEX,RangeMaxXZ_LvEX,RangeMinY_LvEX,RangeMaxY_LvEX,EnableMinXZ_LvEX,EnableMaxXZ_LvEX,ElementAttr_Lv1,ElementAttr_Lv2,ElementAttr_LvEX,AtkAttr_Lv1,AtkAttr_Lv2,AtkAttr_LvEX,UseAtr_Lv1,UseAtr_Lv2,UseAtr_LvEX
0,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,524292,524296,0
1,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
3,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
5,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
6,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
7,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
8,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
10,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
11,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
12,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
13,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
14,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
15,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
16,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
17,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
18,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
19,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
20,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,524290,524290,0
21,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,524288,524288,0
22,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,0,0,0,2,2,2,524293,524293,524293
23,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,0,0,0,128,128,128,0,0,0
24,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
25,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,64,64,0,0,0,0
26,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,524325,524325,0
27,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,0,0,0,0,0,0,524294,524294,524294
28,500.0,1500.0,-500.0,1000.0,0.0,0.0,500.0,1500.0,-500.0,1000.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,524293,524293,0
29,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
