index,RangeMinXZ_Lv1,RangeMaxXZ_Lv1,RangeMinY_Lv1,RangeMaxY_Lv1,EnableMinXZ_Lv1,EnableMaxXZ_Lv1,RangeMinXZ_Lv2,RangeMaxXZ_Lv2,RangeMinY_Lv2,RangeMaxY_Lv2,EnableMinXZ_Lv2,EnableMaxXZ_Lv2,RangeMinXZ_LvEX,RangeMaxXZ_LvEX,RangeMinY_LvEX,RangeMaxY_LvEX,EnableMinXZ_LvEX,EnableMaxXZ_LvEX,ElementAttr_Lv1,ElementAttr_Lv2,ElementAttr_LvEX,AtkAttr_Lv1,AtkAttr_Lv2,AtkAttr_LvEX,UseAtr_Lv1,UseAtr_Lv2,UseAtr_LvEX
0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,-431602080.0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,-431602080.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,-431602080.0,0.0,0.0,0,0,0,0,0,0,0,0,0
3,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,-431602080.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,-431602080.0,0.0,0.0,0,0,0,0,0,0,0,0,0
5,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,-431602080.0,0.0,0.0,0,0,0,0,0,0,0,0,0
6,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,-431602080.0,0.0,0.0,0,0,0,0,0,0,0,0,0
7,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,-431602080.0,0.0,0.0,0,0,0,0,0,0,0,0,0
8,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,-431602080.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,-431602080.0,0.0,0.0,0,0,0,0,0,0,0,0,0
