index,RangeMinXZ_Lv1,RangeMaxXZ_Lv1,RangeMinY_Lv1,RangeMaxY_Lv1,EnableMinXZ_Lv1,EnableMaxXZ_Lv1,RangeMinXZ_Lv2,RangeMaxXZ_Lv2,RangeMinY_Lv2,RangeMaxY_Lv2,EnableMinXZ_Lv2,EnableMaxXZ_Lv2,RangeMinXZ_LvEX,RangeMaxXZ_LvEX,RangeMinY_LvEX,RangeMaxY_LvEX,EnableMinXZ_LvEX,EnableMaxXZ_LvEX,ElementAttr_Lv1,ElementAttr_Lv2,ElementAttr_LvEX,AtkAttr_Lv1,AtkAttr_Lv2,AtkAttr_LvEX,UseAtr_Lv1,UseAtr_Lv2,UseAtr_LvEX
0,500.0,1000.0,-500.0,2000.0,0.0,0.0,500.0,1000.0,-500.0,2000.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,128,128,0
1,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,128,128,0
2,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
3,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
5,0.0,150.0,0.0,200.0,0.0,0.0,0.0,150.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,144,144,0
6,0.0,150.0,0.0,200.0,0.0,0.0,0.0,150.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,144,144,0
7,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
8,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
10,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
11,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
12,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
13,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
14,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
15,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
16,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
17,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
18,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
19,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
20,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,128,128,0
21,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
22,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
23,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
24,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
25,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
26,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
27,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,500.0,1000.0,-500.0,2000.0,0.0,1500.0,500.0,1000.0,-500.0,2000.0,0.0,1500.0,500.0,1000.0,-500.0,2000.0,0.0,1500.0,1,1,1,0,0,0,128,128,128
31,0.0,500.0,-500.0,2000.0,0.0,1000.0,0.0,500.0,-500.0,2000.0,0.0,1000.0,100.0,200.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,128,128,0
32,500.0,1000.0,-500.0,2000.0,0.0,1500.0,500.0,1000.0,-500.0,2000.0,0.0,1500.0,500.0,1000.0,-500.0,2000.0,0.0,1500.0,4,4,4,0,0,0,128,128,128
33,800.0,800.0,-500.0,1000.0,600.0,1000.0,800.0,800.0,-500.0,1000.0,600.0,1000.0,100.0,200.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1048705,1048705,0
34,500.0,700.0,-500.0,1000.0,0.0,1000.0,500.0,700.0,-500.0,1000.0,0.0,1000.0,500.0,700.0,-500.0,1000.0,0.0,1000.0,2,2,2,0,0,0,130,130,130
35,300.0,300.0,-500.0,1000.0,0.0,1000.0,300.0,300.0,-500.0,1000.0,0.0,1000.0,100.0,200.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,128,128,0
36,400.0,500.0,-500.0,1000.0,0.0,1000.0,400.0,500.0,-500.0,1000.0,0.0,1000.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,128,128,0,128,128,0
37,200.0,200.0,-500.0,1000.0,0.0,700.0,200.0,200.0,-500.0,1000.0,0.0,700.0,100.0,200.0,0.0,0.0,0.0,0.0,16384,16384,0,0,0,0,128,128,0
38,250.0,250.0,-500.0,1000.0,0.0,800.0,250.0,250.0,-500.0,1000.0,0.0,800.0,100.0,200.0,0.0,0.0,0.0,0.0,512,512,0,0,0,0,128,128,0
39,500.0,1000.0,-500.0,1000.0,0.0,1500.0,500.0,1000.0,-500.0,1000.0,0.0,1500.0,100.0,200.0,0.0,0.0,0.0,0.0,256,256,0,0,0,0,128,128,0
40,0.0,1500.0,-500.0,1000.0,0.0,2500.0,0.0,1500.0,-500.0,1000.0,0.0,2500.0,0.0,1500.0,-500.0,1000.0,0.0,2500.0,0,0,0,0,0,0,128,128,128
41,0.0,700.0,-500.0,1000.0,0.0,1500.0,0.0,700.0,-500.0,1000.0,0.0,1500.0,100.0,200.0,0.0,0.0,0.0,1000.0,8,8,8,0,0,0,1152,1152,1152
42,100.0,500.0,-500.0,500.0,0.0,1000.0,100.0,500.0,-500.0,500.0,0.0,1000.0,100.0,500.0,-500.0,500.0,0.0,1000.0,1,1,1,0,0,0,128,128,128
43,100.0,500.0,-500.0,500.0,0.0,1000.0,100.0,500.0,-500.0,500.0,0.0,1000.0,100.0,500.0,-500.0,500.0,0.0,1000.0,2,2,2,0,0,0,128,128,128
44,100.0,500.0,-500.0,500.0,0.0,1000.0,100.0,500.0,-500.0,500.0,0.0,1000.0,100.0,500.0,-500.0,500.0,0.0,1000.0,4,4,4,0,0,0,128,128,128
45,100.0,500.0,-500.0,500.0,0.0,1000.0,100.0,500.0,-500.0,500.0,0.0,1000.0,100.0,500.0,-500.0,500.0,0.0,1000.0,8,8,8,0,0,0,128,128,128
46,100.0,500.0,-500.0,500.0,0.0,1000.0,100.0,500.0,-500.0,500.0,0.0,1000.0,100.0,500.0,-500.0,500.0,0.0,1000.0,16,16,16,0,0,0,128,128,128
47,500.0,1000.0,-500.0,1000.0,0.0,1500.0,500.0,1000.0,-500.0,1000.0,0.0,1500.0,500.0,1000.0,-500.0,1000.0,0.0,1500.0,1,1,1,0,0,0,1155,1155,1155
48,500.0,800.0,-500.0,1000.0,0.0,1000.0,500.0,800.0,-500.0,1000.0,0.0,1000.0,500.0,800.0,-500.0,1000.0,0.0,1000.0,2,2,2,0,0,0,1155,1155,1155
49,600.0,1500.0,-500.0,1000.0,250.0,500.0,600.0,1500.0,-500.0,1000.0,250.0,500.0,600.0,1500.0,-500.0,1000.0,250.0,500.0,4,4,4,0,0,0,1155,1155,1155
50,500.0,1000.0,-500.0,1000.0,0.0,1500.0,500.0,1000.0,-500.0,1000.0,0.0,1500.0,500.0,1000.0,-500.0,1000.0,0.0,1500.0,0,0,0,32,32,32,1155,1155,1155
51,500.0,1000.0,-500.0,1000.0,0.0,1500.0,500.0,1000.0,-500.0,1000.0,0.0,1500.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1155,1155,0
52,500.0,1000.0,-500.0,1000.0,0.0,1500.0,500.0,1000.0,-500.0,1000.0,0.0,1500.0,100.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1153,1153,0
53,500.0,1000.0,-500.0,1000.0,0.0,1500.0,500.0,1000.0,-500.0,1000.0,0.0,1500.0,100.0,200.0,0.0,0.0,0.0,0.0,1048576,1048576,0,0,0,0,129,129,0
54,500.0,1000.0,-500.0,1000.0,0.0,1500.0,500.0,1000.0,-500.0,1000.0,0.0,1500.0,100.0,200.0,0.0,0.0,0.0,0.0,128,128,0,0,0,0,128,128,0
