file,premises,goals,interfaceId,premise,effect,elementAttr,attackAttr,useAttr,classHash,classSize
Air,"[0,1]","[{""name"":""Air"",""premiseCount"":1,""premises"":[1]}]",22,0,1,0,0,0,0x62819A85,720
Air,"[0,1]","[{""name"":""Air"",""premiseCount"":1,""premises"":[1]}]",23,0,1,0,0,0,0x6ADB56B5,720
Ballista,"[0,1]","[{""name"":""Ballista"",""premiseCount"":1,""premises"":[1]}]",170,0,1,0,0,0,0x51499E37,720
BarrelBomb,"[0,1]","[{""name"":""BarrelBomb"",""premiseCount"":1,""premises"":[1]}]",169,0,1,0,0,0,0x60235475,720
BattleActionEtc,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",75,0,1,0,0,0,0x29864F78,784
BattleActionEtc,"[0,1]","[{""name"":""NormalAttack"",""premiseCount"":1,""premises"":[1]}]",119,0,1,0,0,0,0x537AF7C2,784
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",94,0,1,0,0,0,0x2608299E,784
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",102,0,1,0,0,0,0x2495A80C,784
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",104,0,1,0,0,0,0x790D775B,784
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",86,0,1,0,0,0,0x00D070AB,784
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",178,0,1,0,0,0,0x0867972D,720
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",43,0,1,0,0,0,0x79726204,752
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",58,0,1,0,0,0,0x0939E203,752
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",42,0,1,0,0,0,0x52995230,752
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",44,0,1,0,0,0,0x6FD3F8CC,752
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",53,0,1,0,0,0,0x44A493BD,752
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",57,0,1,0,0,0,0x56E4B373,752
BattlelAssist,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",45,0,1,0,0,0,0x451DD2CF,752
CarryGoods,"[0,1]","[{""name"":""CarryGoods"",""premiseCount"":1,""premises"":[1]}]",160,0,1,0,0,8192,0x4528593C,752
CarryGoods,"[0,1]","[{""name"":""CarryGoods"",""premiseCount"":1,""premises"":[1]}]",161,0,1,0,0,16384,0x2CFEE88E,720
Climb,"[0,1]","[{""name"":""Climb"",""premiseCount"":1,""premises"":[1]}]",3,0,1,0,0,0,0x65414CFC,720
ClimbAttack,"[0,1]","[{""name"":""ClimbAttack"",""premiseCount"":1,""premises"":[1]}]",63,0,1,0,0,0,0x027CC897,720
ClimbEnd,"[0,1]","[{""name"":""ClimbEnd"",""premiseCount"":1,""premises"":[1]}]",64,0,1,0,0,0,0x2639571D,720
ClimbMove,"[0,1]","[{""name"":""Climb"",""premiseCount"":1,""premises"":[1]}]",143,0,1,0,0,0,0x627AF252,864
Cling,"[0,1]","[{""name"":""Cling"",""premiseCount"":1,""premises"":[1]}]",21,0,1,0,0,0,0x3E06EBB0,736
Cover,"[0,1]","[{""name"":""GotoCover"",""premiseCount"":1,""premises"":[1]}]",1,0,1,0,0,0,0x6E5014CF,752
DashFollow,"[0,1]","[{""name"":""Follow"",""premiseCount"":1,""premises"":[1]}]",173,0,1,0,0,0,0x39E10A59,752
DashFollowSt500,"[0,1]","[{""name"":""Follow"",""premiseCount"":1,""premises"":[1]}]",176,0,1,0,0,0,0x1CF97639,800
DmgAbsorb,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",171,0,1,0,0,0,0x001CFE20,736
DmgCancel,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",163,0,1,0,0,0,0x4326FA4C,880
DmgEscape,"[0,1]","[{""name"":""DmgEscape"",""premiseCount"":1,""premises"":[1]}]",182,0,1,0,0,0,0x30D88FB0,736
DmgLeverGacha,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",150,0,1,0,0,0,0x3FBE9CD7,720
DmgUkemi,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",149,0,1,0,0,0,0x18AA7D84,736
Em0600Cover,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",151,0,1,0,0,0,0x1381DB0E,720
Em0700HandlingOff,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",152,0,1,0,0,0,0x00A6281F,720
Em5200JustGuard,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",153,0,1,0,0,0,0x2985D001,752
Em5300TaruBaku,"[0,1]","[{""name"":""Wait"",""premiseCount"":1,""premises"":[1]}]",154,0,1,0,0,0,0x5971A1BB,720
Enchant,"[0,1]","[{""name"":""EnchantAction"",""premiseCount"":1,""premises"":[1]}]",16,0,1,1,0,0,0x14B094E8,752
Enchant,"[0,1]","[{""name"":""EnchantAction"",""premiseCount"":1,""premises"":[1]}]",36,0,1,2,0,0,0x76533A91,752
Enchant,"[0,1]","[{""name"":""EnchantAction"",""premiseCount"":1,""premises"":[1]}]",37,0,1,4,0,0,0x4EDE9443,752
Enchant,"[0,1]","[{""name"":""EnchantAction"",""premiseCount"":1,""premises"":[1]}]",68,0,1,0,0,0,0x4C0549B2,752
Enchant,"[0,1]","[{""name"":""EnchantAction"",""premiseCount"":1,""premises"":[1]}]",69,0,1,0,0,0,0x571220DC,752
