slot,index,sensor,code,category,objectId,extra,personalities,orders
QUEST - 00,0,0,0,9,1,514,[],[]
QUEST - 00,1,1,0,9,1,2,[],[]
QUEST - 01,0,0,0,9,1,516,[],[]
QUEST - 01,1,1,0,9,1,4,[],[]
QUEST - 02,0,0,0,9,1,520,[],[]
QUEST - 02,1,1,0,9,1,8,[],[]
QUEST - 03,0,0,0,9,1,528,[],[]
QUEST - 03,1,1,0,9,1,16,[],[]
QUEST - 04,0,0,0,9,1,544,[],[]
QUEST - 04,1,1,0,9,1,32,[],[]
QUEST - 05,0,0,0,9,1,576,[],[]
QUEST - 05,1,1,0,9,1,64,[],[]
QUEST - 06,0,0,0,9,1,640,[],[]
QUEST - 06,1,1,0,9,1,128,[],[]
QUEST - 07,0,0,0,9,1,768,[],[]
QUEST - 07,1,1,0,9,1,256,[],[]
PL_Party - 01,0,0,64,0,0,1,[],[]
PL_Party - 01,1,0,70,0,0,1,[],"[{""value"":0,""type"":11}]"
PL_Party - 01,2,0,1,0,0,1,[],"[{""value"":0,""type"":11}]"
PL_Party - 01,3,0,56,0,0,1,[],"[{""value"":0,""type"":11}]"
PL_Party - 03,0,0,57,0,0,1,[],"[{""value"":2,""type"":11}]"
PL_Party - 03,1,0,2,0,0,1,[],"[{""value"":2,""type"":11}]"
PL_Party - 04,0,1,16,0,0,1,"[{""addS32"":-2,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":6,""state"":0}]}]","[{""value"":1,""type"":11}]"
PL_Party - 05,0,0,58,0,0,1,[],"[{""value"":4,""type"":11}]"
PL_Party - 05,1,0,3,0,0,1,[],"[{""value"":4,""type"":11}]"
PL_Party - 06,0,0,15,0,0,1,"[{""addS32"":-2,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":1,""state"":0}]},{""addS32"":-2,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":5,""state"":0}]},{""addS32"":-2,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":6,""state"":0}]}]","[{""value"":1,""type"":11}]"
PL_Party - 06,1,1,13,0,0,1,"[{""addS32"":-4,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":6,""state"":0}]},{""addS32"":-2,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":1,""state"":0}]},{""addS32"":-2,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":5,""state"":0}]}]","[{""value"":1,""type"":11}]"
Situ_Personal - 00,0,0,27,0,0,1,[],[]
Situ_Personal - 00,1,0,36,0,0,1,[],[]
Situ_Personal - 00,2,0,50,0,0,1,[],[]
Situ_Personal - 00,3,0,49,0,0,1,[],[]
Situ_Personal - 00,4,0,8,0,0,1,[],[]
Situ_Personal - 00,5,1,59,0,0,1,[],[]
Situ_Personal - 00,6,0,26,0,0,1,[],[]
Situ_Personal - 01,0,0,35,0,0,1,[],[]
Situ_Personal - 02,0,0,71,0,0,1,[],[]
Situ_Personal - 03,0,0,48,0,0,1,[],[]
Situ_Personal - 04,0,0,40,0,0,1,[],[]
Situ_Personal - 05,0,0,11,0,0,1,[],[]
Situ_Personal - 05,1,0,10,0,0,1,[],[]
Situ_Personal - 05,2,0,14,0,0,1,[],[]
Situ_Personal - 05,3,0,29,0,0,1,[],[]
Enemy - 02,0,1,12,0,0,1,[],"[{""value"":0,""type"":10}]"
Enemy - 02,1,0,65,0,0,1,[],"[{""value"":0,""type"":11}]"
Enemy - 02,2,0,28,0,0,1,[],[]
Enemy - 04,0,0,7,0,0,1,[],[]
Enemy - 05,0,1,52,0,0,1,[],"[{""value"":4,""type"":10}]"
Wait_Follow - 01,0,0,4,0,0,1,"[{""addS32"":3,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":5,""state"":2}]}]","[{""value"":4,""type"":10}]"
Wait_Follow - 04,0,0,24,0,0,1,"[{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":4,""state"":0}]},{""addS32"":1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":0,""state"":0}]},{""addS32"":1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":3,""state"":2}]}]","[{""value"":6,""type"":10}]"
Wait_Follow - 04,1,0,43,0,0,1,"[{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":4,""state"":0}]},{""addS32"":1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":0,""state"":0}]},{""addS32"":1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":3,""state"":2}]}]","[{""value"":6,""type"":10}]"
Wait_Follow - 04,2,0,23,0,0,1,[],"[{""value"":6,""type"":10}]"
Wait_Follow - 04,3,0,38,0,0,1,[],"[{""value"":6,""type"":10}]"
Wait_Follow - 04,4,0,44,0,0,1,[],"[{""value"":7,""type"":10}]"
Wait_Follow - 04,5,0,47,0,0,1,"[{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":0,""state"":0}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":2,""state"":0}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":3,""state"":0}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":4,""state"":0}]}]","[{""value"":7,""type"":10}]"
Wait_Follow - 04,6,0,46,0,0,1,"[{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":0,""state"":0}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":2,""state"":0}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":3,""state"":0}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":4,""state"":0}]}]","[{""value"":7,""type"":10}]"
Wait_Follow - 04,7,0,45,0,0,1,"[{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":0,""state"":0}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":2,""state"":0}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":3,""state"":0}]},{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":1,""checks"":[{""personality"":4,""state"":0}]}]","[{""value"":7,""type"":10}]"
Wait_Follow - 05,0,0,30,0,0,1,[],[]
Wait_Follow - 05,1,0,31,0,0,1,[],"[{""value"":7,""type"":10}]"
Wait_Follow - 05,2,0,32,0,0,1,[],"[{""value"":7,""type"":10}]"
Wait_Follow - 05,3,0,20,0,0,1,"[{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":8,""state"":2}]}]","[{""value"":6,""type"":10}]"
Wait_Follow - 05,4,0,21,0,0,1,"[{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":8,""state"":2}]}]","[{""value"":6,""type"":10}]"
Wait_Follow - 05,5,0,22,0,0,1,"[{""addS32"":-1,""addF32"":0.0,""breakAfterApply"":0,""checks"":[{""personality"":8,""state"":2}]}]","[{""value"":6,""type"":10}]"
Wait_Follow - 05,6,0,34,0,0,1,[],"[{""value"":7,""type"":10}]"
Wait_Follow - 05,7,0,19,0,0,1,[],"[{""value"":6,""type"":10}]"
Wait_Follow - 05,8,0,37,0,0,1,[],"[{""value"":7,""type"":10}]"
Wait_Follow - 06,0,0,5,0,0,1,[],"[{""value"":5,""type"":10}]"
