code,usedByPriority,status,resources,interfaceIds,sourceSlots,planHash
0,1,direct_goap_link,Wait,0,QUEST - 00|QUEST - 00|QUEST - 01|QUEST - 01|QUEST - 02|QUEST - 02|QUEST - 03|QUEST - 03|QUEST - 04|QUEST - 04|QUEST - 05|QUEST - 05|QUEST - 06|QUEST - 06|QUEST - 07|QUEST - 07,0x379B2772
1,1,direct_goap_link,Follow,1,PL_Party - 01,0xE44AE737
2,1,direct_goap_link,Jump,2,PL_Party - 03,0x1023263A
3,1,direct_goap_link,Climb,3,PL_Party - 05,0x1BFF55C6
4,1,unmatched,,,Wait_Follow - 01,0x2A9292B7
5,1,unmatched,,,Wait_Follow - 06,0x365C9E9D
6,1,direct_goap_link,HoldAction,4,Wait_Follow - 07,0x494AFEF9
7,1,unmatched,,,Enemy - 04,0xB8D6CA01
8,1,unmatched,,,Situ_Personal - 00,0x9A83F316
9,0,direct_goap_link,Receive,1,,0x5014BF35
10,1,direct_goap_link,Cling,21,Situ_Personal - 05,0x1E9E5108
11,1,direct_goap_link,Cover,1,Situ_Personal - 05,0xA2B2E846
12,1,direct_goap_link,HelpAction,73,Enemy - 02,0xA98AADE9
13,1,unmatched,,,PL_Party - 06,0xE63774F9
14,1,unmatched,,,Situ_Personal - 05,0xB44CECC6
15,1,direct_goap_link,Air,22|23,PL_Party - 06,0x9EC8ADD2
16,1,unmatched,,,PL_Party - 04,0x2A9292B7
17,0,unmatched,,,,0x2A9292B7
18,1,unmatched,,,Wait_Follow - 06,0x2A9292B7
19,1,direct_goap_link,Recover,26,Wait_Follow - 05,0xBEE29E11
20,1,direct_goap_link,Goto,27,Wait_Follow - 05,0x6638E90D
21,1,direct_goap_link,LadderClimb,60,Wait_Follow - 05,0xD4C3B530
22,1,direct_goap_link,LadderDismount,60,Wait_Follow - 05,0x88ED004E
23,1,direct_goap_link,ClimbAttack,63,Wait_Follow - 04,0xBA935BE1
24,1,direct_goap_link,ClimbEnd,64,Wait_Follow - 04,0xD7B9A61B
25,0,direct_goap_link,HoldWait,65,,0x1DD96CB7
26,1,direct_goap_link,HoldWait4Feet,66,Situ_Personal - 00,0x26F03907
27,1,unmatched,,,Situ_Personal - 00,0x2A9292B7
28,1,direct_goap_link,StandOff,67,Enemy - 02,0x76F95E03
29,1,unmatched,,,Situ_Personal - 05,0x2A9292B7
30,1,unmatched,,,Wait_Follow - 05,0x2A9292B7
31,1,direct_goap_link,UseItem,71,Wait_Follow - 05,0xD4628514
32,1,direct_goap_link,Precaution,72,Wait_Follow - 05,0x20FFA8D0
33,1,unmatched,,,Wait_Follow - 06,0x2A9292B7
34,1,direct_goap_link,LiftCorpse,116,Wait_Follow - 05,0x966473CC
35,1,direct_goap_link,VictoryPose,117,Situ_Personal - 01,0x58E231C8
36,1,direct_goap_link,ItemThrow,158,Situ_Personal - 00,0xC4643917
37,1,unmatched,,,Wait_Follow - 05,0xC898FC08
38,1,direct_goap_link,PlCons,128,Wait_Follow - 04,0x1247ECFA
